Legislator,Active,Legislature,SEN/REP,CONGRESSPERSON FIRST NAME,CONGRESSPERSON LAST NAME,PARTY,STATE,DISTRICT
Shalala Donna,True,116th,Rep.,Donna,Shalala,D,FL,27
Sherman Brad,True,116th,Rep.,Brad,Sherman,D,CA,30
Sherrill Mikie,True,116th,Rep.,Mikie,Sherrill,D,NJ,11
Shimkus John,True,116th,Rep.,John,Shimkus,R,IL,15
Simpson Mike,True,116th,Rep.,Mike,Simpson,R,ID,2
Sires Albio,True,116th,Rep.,Albio,Sires,D,NJ,8
Slotkin Elissa,True,116th,Rep.,Elissa,Slotkin,D,MI,8
Torres Small Xochitl,True,116th,Rep.,Xochitl,Torres Small,D,NM,2
Smith Adam,True,116th,Rep.,Adam,Smith,D,WA,9
Smith Adrian,True,116th,Rep.,Adrian,Smith,R,NE,3
Smith Chris,True,116th,Rep.,Chris,Smith,R,NJ,4
Smith Jason,True,116th,Rep.,Jason,Smith,R,MO,8
Smucker Lloyd,True,116th,Rep.,Lloyd,Smucker,R,PA,11
Soto Darren,True,116th,Rep.,Darren,Soto,D,FL,9
Spanberger Abigail,True,116th,Rep.,Abigail,Spanberger,D,VA,7
Spano Ross,True,116th,Rep.,Ross,Spano,R,FL,15
Speier Jackie,True,116th,Rep.,Jackie,Speier,D,CA,14
Stanton Greg,True,116th,Rep.,Greg,Stanton,D,AZ,9
Stauber Pete,True,116th,Rep.,Pete,Stauber,R,MN,8
Stefanik Elise,True,116th,Rep.,Elise,Stefanik,R,NY,21
Steil Bryan,True,116th,Rep.,Bryan,Steil,R,WI,1
Steube Greg,True,116th,Rep.,Greg,Steube,R,FL,17
Stevens Haley,True,116th,Rep.,Haley,Stevens,D,MI,11
Stewart Chris,True,116th,Rep.,Chris,Stewart,R,UT,2
Stivers Steve,True,116th,Rep.,Steve,Stivers,R,OH,15
Suozzi Tom,True,116th,Rep.,Tom,Suozzi,D,NY,3
Swalwell Eric,True,116th,Rep.,Eric,Swalwell,D,CA,15
Takano Mark,True,116th,Rep.,Mark,Takano,D,CA,41
Taylor Van,True,116th,Rep.,Van,Taylor,R,TX,3
Thompson Bennie,True,116th,Rep.,Bennie,Thompson,D,MS,2
Thompson Glenn,True,116th,Rep.,Glenn,Thompson,R,PA,15
Thompson Mike,True,116th,Rep.,Mike,Thompson,D,CA,5
Thornberry Mac,True,116th,Rep.,Mac,Thornberry,R,TX,13
Tiffany Tom,True,116th,Rep.,Tom,Tiffany,R,WI,7
Timmons William,True,116th,Rep.,William,Timmons,R,SC,4
Tipton Scott,True,116th,Rep.,Scott,Tipton,R,CO,3
Titus Dina,True,116th,Rep.,Dina,Titus,D,NV,1
Tlaib Rashida,True,116th,Rep.,Rashida,Tlaib,D,MI,13
Tonko Paul,True,116th,Rep.,Paul,Tonko,D,NY,20
Torres Norma,True,116th,Rep.,Norma,Torres,D,CA,35
Trahan Lori,True,116th,Rep.,Lori,Trahan,D,MA,3
Trone David,True,116th,Rep.,David,Trone,D,MD,6
Turner Mike,True,116th,Rep.,Mike,Turner,R,OH,10
Underwood Lauren,True,116th,Rep.,Lauren,Underwood,D,IL,14
Upton Fred,True,116th,Rep.,Fred,Upton,R,MI,6
Van Drew Jeff,True,116th,Rep.,Jeff,Van Drew,R,NJ,2
Vargas Juan,True,116th,Rep.,Juan,Vargas,D,CA,51
Veasey Marc,True,116th,Rep.,Marc,Veasey,D,TX,33
Vela Filemon,True,116th,Rep.,Filemon,Vela,D,TX,34
Velazquez Nydia,True,116th,Rep.,Nydia,Velazquez,D,NY,7
Visclosky Pete,True,116th,Rep.,Pete,Visclosky,D,IN,1
Wagner Ann,True,116th,Rep.,Ann,Wagner,R,MO,2
Walberg Tim,True,116th,Rep.,Tim,Walberg,R,MI,7
Walden Greg,True,116th,Rep.,Greg,Walden,R,OR,2
Walker Mark,True,116th,Rep.,Mark,Walker,R,NC,6
Walorski Jackie,True,116th,Rep.,Jackie,Walorski,R,IN,2
Waltz Michael,True,116th,Rep.,Michael,Waltz,R,FL,6
Wasserman Schultz Debbie,True,116th,Rep.,Debbie,Wasserman Schultz,D,FL,23
Waters Maxine,True,116th,Rep.,Maxine,Waters,D,CA,43
Watkins Steve,True,116th,Rep.,Steve,Watkins,R,KS,2
Watson Coleman Bonnie,True,116th,Rep.,Bonnie,Watson Coleman,D,NJ,12
Weber Randy,True,116th,Rep.,Randy,Weber,R,TX,14
Webster Dan,True,116th,Rep.,Dan,Webster,R,FL,11
Welch Peter,True,116th,Rep.,Peter,Welch,D,VT,at large
Wenstrup Brad,True,116th,Rep.,Brad,Wenstrup,R,OH,2
Westerman Bruce,True,116th,Rep.,Bruce,Westerman,R,AR,4
Wexton Jennifer,True,116th,Rep.,Jennifer,Wexton,D,VA,10
Wild Susan,True,116th,Rep.,Susan,Wild,D,PA,7
Williams Roger,True,116th,Rep.,Roger,Williams,R,TX,25
Wilson Joe,True,116th,Rep.,Joe,Wilson,R,SC,2
Wilson Frederica,True,116th,Rep.,Frederica,Wilson,D,FL,24
Wittman Rob,True,116th,Rep.,Rob,Wittman,R,VA,1
Womack Steve,True,116th,Rep.,Steve,Womack,R,AR,3
Woodall Rob,True,116th,Rep.,Rob,Woodall,R,GA,7
Wright Ron,True,116th,Rep.,Ron,Wright,R,TX,6
Yarmuth John,True,116th,Rep.,John,Yarmuth,D,KY,3
Yoho Ted,True,116th,Rep.,Ted,Yoho,R,FL,3
Young Don,True,116th,Rep.,Don,Young,R,AK,1
Zeldin Lee,True,116th,Rep.,Lee,Zeldin,R,NY,1
