Legislator,State,Jurisdiction,Sen./Rep.,Party Affiliation,Active,Legislature
Cortez Masto Catherine,NV,Nevada,Sen.,D,True,116th
Cotton Tom,AR,Arkansas,Sen.,R,True,116th
Cramer Kevin,ND,North Dakota,Sen.,R,True,116th
Crapo Michael,ID,Idaho,Sen.,R,True,116th
Cruz Ted,TX,Texas,Sen.,R,True,116th
Daines Steve,MT,Montana,Sen.,R,True,116th
Duckworth Tammy,IL,Illinois,Sen.,D,True,116th
Durbin Richard,IL,Illinois,Sen.,D,True,116th
Enzi Michael,WY,Wyoming,Sen.,R,True,116th
Ernst Joni,IA,Iowa,Sen.,R,True,116th
Feinstein Dianne,CA,California,Sen.,D,True,116th
Fischer Deb,NE,Nebraska,Sen.,R,True,116th
Gardner Cory,CO,Colorado,Sen.,R,True,116th
Gillibrand Kirsten,NY,New York,Sen.,D,True,116th
Graham Lindsey,SC,South Carolina,Sen.,R,True,116th
Grassley Charles,IA,Iowa,Sen.,R,True,116th
Harris Kamala,CA,California,Sen.,D,True,116th
Hassan Maggie,NH,New Hampshire,Sen.,D,True,116th
Hawley Josh,MO,Missouri,Sen.,R,True,116th
Heinrich Martin,NM,New Mexico,Sen.,D,True,116th
Hirono Mazie,HI,Hawaii,Sen.,D,True,116th
Hoeven John,ND,North Dakota,Sen.,R,True,116th
Hyde-Smith Cindy,MS,Mississippi,Sen.,R,True,116th
Inhofe James,OK,Oklahoma,Sen.,R,True,116th
Johnson Ron,WI,Wisconsin,Sen.,R,True,116th
Jones Doug,AL,Alabama,Sen.,D,True,116th
Kaine Tim,VA,Virginia,Sen.,D,True,116th
Kennedy John,LA,Louisiana,Sen.,R,True,116th
King Angus,ME,Maine,Sen.,I,True,116th
Klobuchar Amy,MN,Minnesota,Sen.,D,True,116th
Lankford James,OK,Oklahoma,Sen.,R,True,116th
Leahy Patrick,VT,Vermont,Sen.,D,True,116th
Lee Mike,UT,Utah,Sen.,R,True,116th
Loeffler Kelly,GA,Georgia,Sen.,R,True,116th
Manchin Joe,WV,West Virginia,Sen.,D,True,116th
Markey Edward,MA,Massachusetts,Sen.,D,True,116th
McConnell Mitch,KY,Kentucky,Sen.,R,True,116th
McSally Martha,AZ,Arizona,Sen.,R,True,116th
Menendez Bob,NJ,New Jersey,Sen.,D,True,116th
Merkley Jeff,OR,Oregon,Sen.,D,True,116th
Moran Jerry,KS,Kansas,Sen.,R,True,116th
Murkowski Lisa,AK,Alaska,Sen.,R,True,116th
Murphy Christopher,CT,Connecticut,Sen.,D,True,116th
Murray Patty,WA,Washington,Sen.,D,True,116th
Paul Rand,KY,Kentucky,Sen.,R,True,116th
Perdue David,GA,Georgia,Sen.,R,True,116th
Peters Gary,MI,Michigan,Sen.,D,True,116th
Portman Rob,OH,Ohio,Sen.,R,True,116th
Reed Jack,RI,Rhode Island,Sen.,D,True,116th
Risch Jim,ID,Idaho,Sen.,R,True,116th
Roberts Pat,KS,Kansas,Sen.,R,True,116th
Romney Mitt,UT,Utah,Sen.,R,True,116th
Rosen Jacky,NV,Nevada,Sen.,D,True,116th
Rounds Mike,SD,South Dakota,Sen.,R,True,116th
Rubio Marco,FL,Florida,Sen.,R,True,116th
Sanders Bernie,VT,Vermont,Sen.,I,True,116th
Sasse Ben,NE,Nebraska,Sen.,R,True,116th
Schatz Brian,HI,Hawaii,Sen.,D,True,116th
Schumer Charles,NY,New York,Sen.,D,True,116th
Scott Rick,FL,Florida,Sen.,R,True,116th
Scott Tim,SC,South Carolina,Sen.,R,True,116th
Shaheen Jeanne,NH,New Hampshire,Sen.,D,True,116th
Shelby Richard,AL,Alabama,Sen.,R,True,116th
Sinema Kyrsten,AZ,Arizona,Sen.,D,True,116th
Smith Tina,MN,Minnesota,Sen.,D,True,116th
Stabenow Debbie,MI,Michigan,Sen.,D,True,116th
Sullivan Dan,AK,Alaska,Sen.,R,True,116th
Tester Jon,MT,Montana,Sen.,D,True,116th
Thune John,SD,South Dakota,Sen.,R,True,116th
Tillis Thom,NC,North Carolina,Sen.,R,True,116th
Toomey Patrick,PA,Pennsylvania,Sen.,R,True,116th
Udall Tom,NM,New Mexico,Sen.,D,True,116th
Van Hollen Chris,MD,Maryland,Sen.,D,True,116th
Warner Mark,VA,Virginia,Sen.,D,True,116th
Warren Elizabeth,MA,Massachusetts,Sen.,D,True,116th
Whitehouse Sheldon,RI,Rhode Island,Sen.,D,True,116th
Wicker Roger,MS,Mississippi,Sen.,R,True,116th
Wyden Ron,OR,Oregon,Sen.,D,True,116th
Young Todd,IN,Indiana,Sen.,R,True,116th
